ID,COLLECTION,CAT_ID,CODE,GENUS,SPECIES,SPEC_TYPE,Lw,S1,Hwi,TWAi,E,CULM_SL,CULM_CL,MAND_SL,MAND_CL,SCMi,NOTES,RECORDER
160,Carnegie MNH,P72833,WEPA,Psittacara,leucophthalmus,skin study,16.1,9.2,42.85714286,0.044436,--,2.63,3.1,1.64,1.9,4.27,left wing,KV
161,Carnegie MNH,P72833,WEPA,Psittacara,leucophthalmus,skin study,16.6,9.7,41.56626506,0.048306,--,--,--,--,--,--,right wing,KV
162,Carnegie MNH,S7063,,Psittacula,krameri,wing spread,--,--,--,--,18.7,--,--,--,--,--,left wing,KV
163,Carnegie MNH,S14126,,Psittacula,alexandri,wing spread,--,--,--,--,19.6,--,--,--,--,--,right wing,KV
164,Carnegie MNH,S11032,,Psittacula,cyanocephala,wing spread,--,--,--,--,17.2,--,--,--,--,--,left wing,KV
165,Carnegie MNH,P91957,OCPA,Pyrilia,barrabandi,skin study,15.3,10.2,33.33333333,0.046818,--,2.25,2.5,0.82,1,3.07,left wing,KV
166,Carnegie MNH,P91957,OCPA,Pyrilia,barrabandi,skin study,15.2,9.7,36.18421053,0.044232,--,--,--,--,--,--,right wing,KV
167,Carnegie MNH,P91958,OCPA,Pyrilia,barrabandi,skin study,15.7,9.3,40.76433121,0.043803,--,2.11,2.5,0.88,0.9,2.99,left wing,KV
168,Carnegie MNH,P91958,OCPA,Pyrilia,barrabandi,skin study,15.8,9.8,37.97468354,0.046452,--,--,--,--,--,--,right wing,KV
169,Carnegie MNH,P96921,OCPA,Pyrilia,barrabandi,skin study,16.6,10.3,37.95180723,0.051294,--,2.39,2.7,1,1,3.39,left wing,KV
170,Carnegie MNH,P96921,OCPA,Pyrilia,barrabandi,skin study,16.2,11,32.09876543,0.05346,--,--,--,--,--,--,right wing,KV
171,Burke Museum ,50038,,Psittacara,holochlorus,wing spread,--,--,--,--,--,--,--,--,--,--,right wing,KV
172,Burke Museum ,56194,,Psittacara,holochlorus,wing spread,--,--,--,--,24.3,--,--,--,--,--,left wing,KV
173,Burke Museum ,69043,,Psittacara,holochlorus,wing spread,--,--,--,--,23.9,--,--,--,--,--,right wing,KV
174,Burke Museum ,69073,,Psittacara,finschi,wing spread,--,--,--,--,--,--,--,--,--,--,right wing,KV
175,Harvard MCZ,173485,MEPA,Amazona,farinosa,skin study,25.8,18.1,29.84496124,0.140094,--,--,--,--,--,--,right wing,NB
